text,at,label
"Bagus cuma, kalo bisa fiturnya dipermudah atau diubah sedikit agar pengguna bisa menyesuaikan dengan apk ini",2018-09-15 10:11:46,positif
"Jaringan baik, tapi muncul disconect",2018-09-16 5:48:18,negatif
Sangat cocok untuk membantu yg kurang mampu beli cash,2018-09-18 2:52:19,positif
Sangat membantu.... Harga nya lebih murah dari sebelah,2018-09-18 11:07:13,positif
Sangat terbantu dengan adanya aplikasi ini,2018-09-20 5:12:00,positif
Saya udah pesan udah 4 hri blm jga sampe gimna ini bl maaf saya bukn myalah kn bl saya mnyalah kn saya sendiri ko mw gtu pesan di bl udah byar udah smua nya blm jga datang haha dasar bl toke,2018-09-24 7:36:29,negatif
Saya sudah lama menunggu tapi mohon bersabar pesanan saya sudah seminggu lebih belum saya terima saya mau uang saya kembali saja,2018-09-25 12:37:03,negatif
"SALDO BUKA DOMPET PASTI DIAMBIL HACKER. JAMINAN AMAN? YAKIN? HANYA PERLU MASUK MELALUI FB ATAU EMAIL + PASS. SALDO ANDA PASTI HABIS. KARENA TIDAK ADA DOUBLE SECURITY NYA. WALAUPUN GANTI PASS, KALAU BISA MASUK MELALUI FB JUGA, PERCUMA GANTI PASS BL. TIDAK SEPERTI APLIKASI TOKO***** SEBELAH. SEBELUM TRANSAKSI DISETUJUI, PASTI DIKIRIMKAN KODE AMAN MELALUI SMS KE TELEPON. SALDO JUTAAN SEHABIS REFUND LANGSUNG HILANG DALAM BEBERAPA JAM. GOOD JOB BL.",2018-09-27 4:51:23,negatif
Tidak bisa menghubungi Administrator dan pilihan Hubungi BukaLapak tidak bisa d akses. Aplikasi sangat jelek. Mending ke Shopee atau tokopedia.,2018-09-27 9:23:10,negatif
Semoga tambah maju dan di tambah keamananya supaya pembeli tidak kecewa,2018-09-28 7:58:14,positif
Payah ga bisa buka produk,2018-09-29 3:49:55,negatif
"Aplikasi gak guna banyak bug, mending belanja di tokopedia aja Udah transfer ke rekeningnya eh lama banget konfirmasinya jadi terbuang percuma Aplikasi tolol",2018-10-01 0:23:08,negatif
sesuka itu sama bukalapak,2018-10-01 6:51:24,positif
sangat membantu n para seller sangat cepat respon,2018-10-02 12:57:07,positif
"App ini bagus sudah membantu, tapi sangat mengecewakan. Saya sudah bayar barang pesanan lain, namun belum di konfirmasi sama bukalapak padahal sudah lama.. Jadi saya kecewa.. Sudah pengaduan gk ada hasil. Tiba"" pesanan saya kadarluwarsa. Padahal sudah bayar. Kembalikan dana saya atau proses. Cari uang gk mudah, saya gk ikhlas ya itu dana saya masuk ke atm bukalapak, dan belanjaan saya di kedarluawarsa padahal sudah bayar. Sangat menjengkelkan",2018-10-07 1:50:15,positif
Pengirimannya tepat waktu,2018-10-07 7:16:53,positif
"Membayar listrik sukses dalam 1 menit, wahhh kerren bro... Isi saldo di ""buka dana"" bisa dicairkan kapan saja...",2018-10-11 4:37:58,positif
Dana saya tdk bisa di cairkan karena buka dompet saya di bekukan dengan alasan yg tdk jelas. Sudah beberapa kali telpon tp jawaban cs selalu sama suruh menunggu beberapa hari dan menunggu konfirm via email. Dana saya di bekuin dari tanggal 11 oktober dan sampai sekarang tanggal 16 oktober belum bisa juga. Tiket laporan saya yang terbaru 7661085 Mohon bantuanya karena dana saya buat muter modal,2018-10-16 6:28:52,negatif
Referal menurun terus,2018-10-16 7:51:25,negatif
