text,at,label
sampai saat ini aplikasinya masih baik baik saja,2022-07-19 0:24:04,positif
kok ngak bisa cod ya,2022-09-01 3:20:12,negatif
Aplikasi bagus Ongkir nya kalau bisa seperti dulu sllu gratis ongkir/ cuma bayar 3000,2022-03-25 15:02:02,positif
Lazana memang sangat mudah to d miliki on line yg simpel dan efektif u/para konsumentnya ..! 💪💪👌👌👍👍👍,2018-12-13 1:30:14,positif
"tiap pesanan selalu dibatalkan, terutama pas barang ada di kurir bukannya telepon pemilik barangnya malah dikembalikan le seller....kecewa berat terutama sama kurirnya JNE...",2021-07-30 3:13:59,negatif
Wah setelah sekian banyak saya mencari aplikasi belanja online ternyata aplikasi lazada yang paling tok cer ngga ribet banyak produk murah dan benar benar bisa CODan lagi..mantul,2020-12-19 14:23:51,positif
"Ngak rugi instal nih app, navigasi dn template nya keren, terus pelayanan nya jga woke bnget, dn Ampe skrng udah 10 order dn semuanya lancar tnpa hambatan",2021-04-07 9:00:48,positif
Alhamdulillah selam belanja di lazada saya merasa sangat puas tapi pernah saya satu kali pesen tapi yang diantar tidak sesuai dengan yang ada difotonya tolong ya lazada kalau ada penjual yang menipu ditindaklanjuti supaya para pembeli puas dan nyaman belanja dilazada 🤗,2021-03-28 3:53:57,positif
"Tolong dong klo mengadakan acara promo itu yg bener,masa saya beli misteri box isinya sampah semua,maksudnya apaan kirim sampah,cari untung boleh asal yg bener,banyak pedagang nakal di lazada,biarpun masih ada pedagang yg amanah.",2020-12-20 10:53:18,negatif
lazada memang blnja no 1 dunia mksi lazada,2022-08-17 10:49:25,positif
aplikasi OlShop yg matep bgt pokonya. belanja jadi semakin mudah..,2019-05-14 2:57:10,positif
"buruan belanja di lazada di jamin puassss,,",2022-08-06 15:18:07,positif
Sangat membantu karena dengan belanja online di lazada kita bisa belanja dari rumah dan banyak pilihan produknya bisa lebih irit!!,2021-11-02 1:11:54,positif
Belanja di lazada mah top markotop. barang nya bagus. COD lagi.,2019-03-17 15:27:38,positif
Mantap barang nya & semoga kualitasnya dipertahan kan .,2020-04-04 23:20:21,positif
saran buat custemer lain... untuk order dilazada pilih pembayaran cod saja... setetelah barang datang lngsung buka saat kurir masih ada... sering brng tidak sesuai order.. jadi jgan diterima cukup kasih ongkir nya aja... lazada pelapak nya hmpir 30% penipu... dan lazada tutup mata tutup telinga padahal komen jelas sngt2 bnyk yg kecewa dari pada yg puas... trmasuk saya korbannya...,2020-05-29 6:21:18,negatif
Sudah lama belanja di lazada. Tp br x ini ada permasalahan. Dengan barang yg saya pesan tidak sesuai dgn website. Dan pihak toko terkait sudah mengakui ini kesalahan toko. Dan bs di tkr lg sesuai pesanan. Tp saya buka layanan cs lazada pengarahanya cm meter2 aja itu pun layanan CS melaui inbokan kan ssh jelasinya . Sangat ssh refund brg. Ga kaya d akulaku kl ada mslh sgt cepat. Pihak CS tangap lngsung tlfn. Proses ferund jg sgt mudah.,2022-06-04 9:21:07,negatif
Dr pada kalian menyesal telah download apk ini mending gak usah..ada beberapa toko yg menipu dan pihak ketiga dr apk ini tidak menengahi..,2022-04-30 7:12:03,negatif
walaupun ada aplikasi lain yg kt orng2 enakan aplikasi ini itu tp tetap no 1 Lazada smga sukses jaya sll😘👍👍,2022-06-10 6:43:52,positif
"lazada babi iklan di game, iklan di aplikasi kuranginlah iklan lazada nya",2022-07-02 12:15:59,negatif
tiap main game pasti ada iklan lazada,2022-06-26 0:41:15,negatif
Apk nya sih bagus tapi kapan iya metode COD nya buka lagi kami yg sekolah aja udah masuk masak kurir nya masi libur 👍,2022-05-12 20:56:14,positif
"Trm ksh sellernya yg Amanah jg cpt responnya.Barang sesuai yg di inginkan,Semoga Berkah Trm ksh Lazada jg mas kurir nya.",2022-01-01 9:09:00,positif
selama ini bagus,2022-08-27 14:38:47,positif
"Kurang bagus,, di gambar lain pas di pesan sampe nya Brg lain,, saya sangat kecewa Dan harus memperjelas ya produknya apa spiker atau misteri box ..",2021-06-05 7:54:35,negatif
Sangat memudahkan bisa berbelanja disini,2022-07-14 10:26:59,positif
saya sàngat suka sekali dengan applikasi ini. terima kasih LAZADA,2022-06-18 7:27:01,positif
Sangat bagus sekali dari segi barang maupun pengiriman nya😇😇,2019-11-28 8:28:15,positif
Kenapa ya..order di lazada pengiriman nya lama..kalah sm aplikasi yetangga,2020-10-15 10:34:38,negatif
"Keren.....keren.....keren......,canggih.....canggih......canggih.....,hebat.....,sempurna.....,apa yang dulu dicari masih susah buat didapatkan,sekarang sedemikian mudahnya buat dibeli{dimiliki}.",2021-05-08 5:02:45,positif
seneng aja karena bnyk yg bisa cod,2022-08-03 4:15:29,positif
"Mohon cek kembali barang pesanan dan jumlah kadang pesan apa yng datang apa pesan sekian barang yng datang kurang, dan buat toko2 atw produk tidak sesuai real mohon di cek.. Mksh!!",2018-11-11 7:11:51,positif
"kalau layanan lazada pada konsumen cukup baik dan puas. bagi resseller item yg sudah tidak ada stok nya, jangan di pajang lagi.. yg bikin nak itu jne nya lelet bangat.",2022-03-07 10:33:16,positif
"keren sihhhh promo nya, tapi kenapa akun saya pada saat checkout itu ada bacaan kesalahaan,hubungi layanan pelanggan? Maksudnya apa sih",2020-09-08 22:21:28,positif
sangat suka sekali puas belanja di lazada,2022-05-09 5:15:35,positif
sangat mengecewakan...mau batalin pembelian tidak bisa sedang barang yg dijual dan deskripsi gx sama..sangat kecewa dan amat memyesal menggunakan lazada...,2019-08-17 18:32:54,negatif
"Dulu suka sama apk online shop ini, tapi skrg benci bgt krna sudah lama saya hapus pun apk nya sering sering seriiing bgt muncul tiba² dan suruh instal lagi.. SANGAT² MENGGANGGU sekaLi, ada yg pernah ngalamin sperti saya..???",2022-03-24 3:10:07,negatif
Sangat kecewa!!!! Karna pengiriman lama. Trus ongkirnya mahal.. Lalu barang juga tidak pernah sesuai dengan foto!!!,2021-11-26 18:57:31,negatif
Mf sy mau bertanya ya.kan ganti HP. Kenapa skrg sy tdk bs masuk ke ladaza lg ya. Mana sy Ada cicilan yg harus di bayar Hari in. Tolong informasi ya,2022-09-02 6:45:01,positif
"Jangan hanya mentingin keuntungan, banyak seller nipuu saya beli barang apa dikirimnya berbeda dengan yg di etalase jualan. Sdh banyak dikasih bintang 1 seharusnya di blokir ituu tokonya",2022-03-21 23:23:44,negatif
"Olshop Nomor#1 bisa cod,bisa gratis ongkir banyak voucher dan lebih murah,sangat puas, recommended buat didownload!Online Shop#1 Di Indonesia 👍 kalau bisa gratis ongkir minimal blanja rp 0",2020-05-11 5:22:39,positif
sangat puas belanja di lazada..,2022-06-19 16:56:18,positif
"wah parah respon dari Lazada tidak ada sama sekali , saya baru pertama kali beli tapi dikecewakan barang saya tidak sampai bilang nya 2 hari aja , dari tgl 25 sampai sekerang belum datang juga , saya di biikin kapok belanja disni 😡",2019-05-29 6:45:47,negatif
Serba ada dan simple banget. Suka banget belanja di lazada.,2020-03-08 11:22:08,positif
Aplikasi gajelas bintang satu lagi ke chrome ada iklan lazada terus,2022-04-22 22:40:34,negatif
"terimakasih, barang cepat nyampe kebalikpapan .",2022-04-13 1:26:48,positif
"Bad app, ikaln aplikasimu dimana""...setiap buka browser kena iklan yg selalu lari ke link aplikasi ini..",2019-06-19 4:44:18,negatif
"Lazada skrg ngaco ya pengirimannya jadi lama bangettttttttt, padahal dulu dulu engga tuh pengirimannya cepet knpa skrg lelet kaya dandan prempuan, padahal lagi naik daun tapi makin kesini makin parah dalam pengiriman semanjak lewat JNE",2020-09-13 20:07:36,negatif
belanja disini selama ini saya tidak pernah kecewa,2022-07-12 1:39:49,positif
