text,at,label
Pilihannya barang banyak...& Harga murah 👍,2022-08-11 11:36:04,positif
Makin parah aja nih..... Error terus... Lemot.... Ndak bisa di buka....,2022-07-30 11:30:01,negatif
"Aplikasi nya berjalan mulus bagus gaada kendala, menurut saya lebih bagus dari toko online lain nya, Lebih gampang di mengerti dan di pahami bagus, REKOMENDED LAH POKOK NYA",2022-04-26 17:33:13,positif
"Sangat sangat puas dengan pelayanan shoope, alhamdullilah selama beberapa kali pesan gak pernah ada problem sama sekali penjual juga sangat fast respon memudahkan urusan belanja yg gk perlu keluar rumah",2019-11-05 14:58:17,positif
"Tempat belanja online paling bagus, pemesanan tidak ribet dan selalu mendapatkan voucher gratis ongkir dan pengirimannya pun tidak lebih dari satu minggu. #SHOPEETEMPATBELANJATERBAIK",2022-05-29 5:09:22,positif
Pengirimannya cepat dan lengkap🤗,2022-07-31 12:03:57,positif
"semenjak ad shopee aku gak capek blanja kmana2. hemat, bisa nambah pnghasilan kalo buat jual lagi, dan masih byk keuntungan lain lagi. makasih shopee",2019-03-24 6:18:13,positif
Ya mudah mudahan bagus. Semangat aja buat yg mau mencoba usaha,2022-08-08 19:51:57,positif
Sudah satu bulan ... Sering tiba tiba keluar sendiri.... Sudah di uninstal terus di instal lagi.. sama saja.... Bagaimana ini... Ada solusi... Solusi hapus sampah sudah Unistal udah Tetep aja ngebug... Keluar sendiri,2020-09-14 22:38:35,negatif
"Selalu puas belanja di shopee. Penanganan dan pengiriman cepat. Metode pembayaran beragam. Jaminan pengembalian dana juga cepat. Saran saya perbanyak koleksi buku seputar dunia sales, marketing, investasi dan inklusi keuangan dong??",2020-12-31 8:41:38,positif
Aplikasi mudah dan memberi kemudahan dengan produknya,2022-04-25 13:40:14,positif
"Mohon maaf pihak shoope untuk klaim pengajuan pengembalian barang dan dana seharusnya tidak harus menunggu berhari"" Baru di acc, ini barang diterima tidak baik (cacat) pengajuan berlarut berhari"". Mohon kebijakakan nya Terimakasih",2022-08-17 9:49:00,negatif
Sangat puas belanja di shopee,2022-07-07 8:26:06,positif
Sudah di update. Tapi pas mau bayar shopepay latter tidak bisa di buka. Jaringan bagus. Mohon tindakannya. Shopepay saya mau lewat batas pembayaran.,2022-06-27 2:25:03,negatif
