text,at,label
Tambah sayang krn BTS jd brand ambasodornya 😍😍. Sebenernya sih kalau gak ada BTS saya biasa saja terhadap tokopedia. Instal karena BTS.,2020-01-07 8:24:53,positif
"Aplikasi sangat bagus, saya bangga dengan tokopedia. Sudah lama saya belanja dengan tokopedia, saya akan mendukung terus tokopedia don't give up 😘😀 Semoga komentar saya bermanfaat 😀",2021-05-28 11:13:58,positif
"buruk banget ini aplikasi, masa mau cairin saldo aja susahnya setengah mati. saya kecewa sama tokopedia #UNINSTALLAJA",2019-04-05 13:45:07,negatif
Tolong donk pay later gw aktifin lagi. Di blokir kaga kira2 lamanya. Bintang 1 lahh klo gt. Belanja di sebelah aje,2020-10-28 7:29:55,negatif
Aplikasi tokopedia aplikasi yang mampu bersaing dengan lainnya.. memudahkan dalam berbelanja dengan segala hal.,2018-11-20 23:04:59,positif
"mantap nih top ped, uang jajan gua makin lama makin menipis, belanja teros di toped, tolong lah angkat gua jadi karyawan toped, biar ada pemasukan dan makin belanja teros di toped, muuuacccchhhh toped",2021-01-24 16:34:36,positif
memang luar biasa sampai bisa menggaet BTS sbg Brand Ambassador👍 mulai suka belanja disini 😁,2019-10-07 20:05:50,positif
"Terimakasih tokopedia, saya sangat senang dengan adanya tokopedia soalnya kalo mau belanja gampang gak pakek ribet ..",2020-09-07 5:52:30,positif
"Terimakasih Tokopedia sukses selalu,mantap semakin maju semoga bisa belajar terus bersama Tokopedia,",2020-09-15 15:58:41,positif
"Memberikan iklan lewat google dengan mendapatkan hadiah jutaan vocer dll, dengan cara klik langkah² selanjutnya yang pada ahirnya download ni apk good job 👍👍pinter cara cari pendownload nya 😂😂 SAMPAH",2021-09-12 19:18:54,negatif
"Ini aplikasi muncul terus di hp ku, iklan nya tiap menit muncul, di install muncul juga, unistall muncul juga. Apa maunya ini aplikasi babi.",2022-04-14 2:25:24,negatif
"Sangat bagus dan bermanfaat dari pelatihan membuat masker kain, dan bisa menjadi peluang usaha, dan meningkatkan kompetensi, terimakasih",2020-09-17 0:49:55,positif
